values,time_s,h,m,s
0.08,4:05:00,4,5,0
0.08,4:05:20,4,5,20
0.08,4:05:40,4,5,40
0.01,4:06:00,4,6,0
0.15,4:06:20,4,6,20
0.09,4:06:40,4,6,40
0.07,4:07:00,4,7,0
0.01,4:07:20,4,7,20
0.15,4:07:40,4,7,40
0.07,4:08:00,4,8,0
0.09,4:08:20,4,8,20
0.08,4:08:40,4,8,40
0.08,4:09:00,4,9,0
0.09,4:09:20,4,9,20
0.07,4:09:40,4,9,40
0.06,4:10:00,4,10,0
0.1,4:10:20,4,10,20
0.07,4:10:40,4,10,40
0.09,4:11:00,4,11,0
0.04,4:11:20,4,11,20
0.12,4:11:40,4,11,40
0.08,4:12:00,4,12,0
0.08,4:12:20,4,12,20
0.05,4:12:40,4,12,40
0.11,4:13:00,4,13,0
0.1,4:13:20,4,13,20
0.06,4:13:40,4,13,40
0.08,4:14:00,4,14,0
0.08,4:14:20,4,14,20
0.08,4:14:40,4,14,40
0.08,4:15:00,4,15,0
0.07,4:15:20,4,15,20
0.09,4:15:40,4,15,40
0.01,4:16:00,4,16,0
0.15,4:16:20,4,16,20
0.04,4:16:40,4,16,40
0.12,4:17:00,4,17,0
0.04,4:17:20,4,17,20
0.12,4:17:40,4,17,40
0.03,4:18:00,4,18,0
0.13,4:18:20,4,18,20
0.07,4:18:40,4,18,40
0.09,4:19:00,4,19,0
0.04,4:19:20,4,19,20
0.12,4:19:40,4,19,40
0.03,4:20:00,4,20,0
0.13,4:20:20,4,20,20
0.13,4:20:40,4,20,40
0.03,4:21:00,4,21,0
0.13,4:21:20,4,21,20
0.03,4:21:40,4,21,40
0.09,4:22:00,4,22,0
0.07,4:22:20,4,22,20
0.03,4:22:40,4,22,40
0.13,4:23:00,4,23,0
0.02,4:23:20,4,23,20
0.14,4:23:40,4,23,40
0.02,4:24:00,4,24,0
0.14,4:24:20,4,24,20
0.01,4:24:40,4,24,40
0.15,4:25:00,4,25,0
0.04,4:25:20,4,25,20
0.12,4:25:40,4,25,40
0.09,4:26:00,4,26,0
0.07,4:26:20,4,26,20
0.04,4:26:40,4,26,40
0.12,4:27:00,4,27,0
0.1,4:27:20,4,27,20
0.06,4:27:40,4,27,40
0.08,4:28:00,4,28,0
0.08,4:28:20,4,28,20
0.09,4:28:40,4,28,40
0.07,4:29:00,4,29,0
0.04,4:29:20,4,29,20
0.12,4:29:40,4,29,40
0.03,4:30:00,4,30,0
0.13,4:30:20,4,30,20
0.02,4:30:40,4,30,40
0.14,4:31:00,4,31,0
0.05,4:31:20,4,31,20
0.11,4:31:40,4,31,40
0.11,4:32:00,4,32,0
0.05,4:32:20,4,32,20
0.05,4:32:40,4,32,40
0.11,4:33:00,4,33,0
0.02,4:33:20,4,33,20
0.14,4:33:40,4,33,40
0.04,4:34:00,4,34,0
0.12,4:34:20,4,34,20
0.13,4:34:40,4,34,40
0.03,4:35:00,4,35,0
0.13,4:35:20,4,35,20
0.03,4:35:40,4,35,40
0.09,4:36:00,4,36,0
0.07,4:36:20,4,36,20
0.11,4:36:40,4,36,40
0.05,4:37:00,4,37,0
0.08,4:37:20,4,37,20
0.08,4:37:40,4,37,40
0.07,4:38:00,4,38,0
0.09,4:38:20,4,38,20
0.08,4:38:40,4,38,40
0.08,4:39:00,4,39,0
0.05,4:39:20,4,39,20
0.11,4:39:40,4,39,40
0.1,4:40:00,4,40,0
0.06,4:40:20,4,40,20
0.04,4:40:40,4,40,40
0.12,4:41:00,4,41,0
0.05,4:41:20,4,41,20
0.11,4:41:40,4,41,40
0.05,4:42:00,4,42,0
0.11,4:42:20,4,42,20
0.07,4:42:40,4,42,40
0.09,4:43:00,4,43,0
